timestamp,engine_id,mission_id,flight_phase,engine_operating_hours,rpm,throttle,engine_load,oil_pressure,oil_temperature,cht,egt,fuel_flow,vibration_rms,vibration_peak,vibration_1x,vibration_2x,battery_voltage,alternator_voltage,ambient_temperature,ambient_pressure,degradation_index,fault_type,fault_severity,fault_progression,mission_fault_type,affected_component,fault_onset_timestamp,fault_duration_s,fault_variant,sensor_channel_affected
2026-06-10 00:00:00.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.2956,2246.7,0.1388,0.0796,2.057,18.93,42.37,214.08,1.542,0.2707,0.7653,0.184,0.0639,24.157,0.048,8.73,1013.64,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:04.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.2967,2447.7,0.1401,0.082,2.156,19.72,43.78,284.14,1.621,0.3166,1.0308,0.218,0.121,25.927,28.228,8.9,1013.87,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:08.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.2978,2523.7,0.1354,0.0795,2.193,20.48,45.07,341.32,1.576,0.3332,1.0094,0.2381,0.1109,25.904,28.205,8.6,1013.61,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:12.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.2989,2530.6,0.1271,0.0742,2.197,21.2,46.21,387.75,1.573,0.3197,1.0243,0.2281,0.0957,25.812,28.148,8.58,1013.51,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:16.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3,2549.9,0.1247,0.0728,2.206,21.89,47.28,425.66,1.589,0.3118,0.9668,0.2234,0.0972,25.905,28.179,8.62,1013.53,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:20.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3011,2524.5,0.1224,0.0712,2.194,22.57,48.26,456.57,1.597,0.3282,1.0221,0.2305,0.1038,25.85,28.184,8.64,1013.51,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:24.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3023,2529.6,0.1218,0.0708,2.196,23.23,49.19,481.86,1.54,0.3403,1.0238,0.2381,0.119,25.854,28.126,8.69,1013.41,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:28.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3034,2506.4,0.1196,0.0692,2.185,23.86,50.06,502.45,1.591,0.3229,1.0414,0.2289,0.0838,25.815,28.183,8.77,1013.64,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:32.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3045,2491.0,0.1128,0.0648,2.177,24.47,50.82,518.97,1.508,0.3168,0.9305,0.2411,0.0826,25.919,28.201,8.77,1013.57,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:36.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3056,2473.3,0.1083,0.0619,2.168,25.07,51.51,532.28,1.507,0.2945,0.8691,0.2064,0.0723,25.899,28.134,9.1,1013.48,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
